ID,VACANCY_TITLE,COMPANY_NAME,SALARY,CITY,DATE,PROGRAMMING_LANGUAGE,VACANCY_URL
94450348,Junior Frontend разработчик,EasyDev,60000,Москва,2024-03-09,Python,https://hh.ru/vacancy/94450348
94354526,Стажер-разработчик Python,Додо Пицца,150000,Ростов-на-Дону,2024-03-06,Python,https://hh.ru/vacancy/94354526
94120837,Python junior разработчик,Скиллтеллект,50000,Санкт-Петербург,2024-03-01,Python,https://hh.ru/vacancy/94120837
94228875,Junior Frontend разработчик,MacBuildServer,50000,Самара,2024-03-07,Python,https://hh.ru/vacancy/94228875
94293788,Junior Python-разработчик,СОГАЗ,,Москва,2024-03-06,Python,https://hh.ru/vacancy/94293788
94114941,Junior-разработчик,Планетра,60000,Москва,2024-03-07,Python,https://hh.ru/vacancy/94114941
94403212,Junior-разработчик,Планетра,60000,Екатеринбург,2024-03-07,Python,https://hh.ru/vacancy/94403212
93969272,Младший (junior) программист Python,Интеллектуальные системы,78750,Воронеж,2024-02-28,Python,https://hh.ru/vacancy/93969272
94218872,Junior backend Go разработчик (Golang) / стажер (Удаленно),СФЕРА,55000,Москва,2024-03-07,Python,https://hh.ru/vacancy/94218872
93361633,Junior Python Developer,Бизнес Технологии,70000,Санкт-Петербург,2024-03-08,Python,https://hh.ru/vacancy/93361633
94391819,Intern Data Engineer,Mindbox,35000,Москва,2024-03-07,Python,https://hh.ru/vacancy/94391819
94416276,Младший специалист по искусственному интеллекту (ML),Аривист,50000,Санкт-Петербург,2024-03-07,Python,https://hh.ru/vacancy/94416276
94114982,Junior-разработчик,Планетра,60000,Санкт-Петербург,2024-03-07,Python,https://hh.ru/vacancy/94114982
91849357,Junior Backend-разработчик,Программные Системы,50000,Екатеринбург,2024-03-08,Python,https://hh.ru/vacancy/91849357
92816235,Project manager Junior,CRTEX,70000,Москва,2024-03-07,Python,https://hh.ru/vacancy/92816235
93988359,Аналитик (junior),Матчинг Гэлэкси,50000,Москва,2024-03-08,Python,https://hh.ru/vacancy/93988359
93214685,Junior Java Developer,"Trend Soft, студия",70000,Москва,2024-03-09,Python,https://hh.ru/vacancy/93214685
93725652,Trainee/Intern/Junior Python backend developer,Рекруто,60000,Санкт-Петербург,2024-02-24,Python,https://hh.ru/vacancy/93725652
94120582,Junior-разработчик,Планетра,60000,Казань,2024-03-07,Python,https://hh.ru/vacancy/94120582
89753481,"Стажер Back-end разработчика (php, python, c#)",Nti.team,30000,Санкт-Петербург,2024-02-27,Python,https://hh.ru/vacancy/89753481
92581565,Начинающий Веб программист (Junior Web-разработчик),"РэйнбовСофт, НПО",,Саратов,2024-03-10,Python,https://hh.ru/vacancy/92581565
94117594,Инженер-тестировщик,Медиа-тел,50000,Краснодар,2024-03-01,Python,https://hh.ru/vacancy/94117594
93919883,Junior Frontend - разработчик,Программные Системы,50000,Екатеринбург,2024-03-08,Python,https://hh.ru/vacancy/93919883
91266952,Junior Analyst (Младший Аналитик),OptiTeam,,Москва,2024-02-19,Python,https://hh.ru/vacancy/91266952
94321442,Младший аналитик направления статистических моделей,Лига Ставок,,Москва,2024-03-06,Python,https://hh.ru/vacancy/94321442
93662171,Junior SQL developer,Devim,50000,Санкт-Петербург,2024-03-03,Python,https://hh.ru/vacancy/93662171
94313345,Junior Rust разработчик (Synapse),SberTech,120000,Москва,2024-03-06,Python,https://hh.ru/vacancy/94313345
94376381,Junior Web реверс-инженер,EvoSoft,,Красноярск,2024-03-07,Python,https://hh.ru/vacancy/94376381
93969456,Junior Developer ИИ,Меткатом,80000,Санкт-Петербург,2024-02-28,Python,https://hh.ru/vacancy/93969456
93686860,Junior Product Analyst,Sputnik8,,Санкт-Петербург,2024-02-22,Python,https://hh.ru/vacancy/93686860
94226481,Младший аналитик данных (Департамент финансового мониторинга),ПСБ (ПАО «Промсвязьбанк»),,Москва,2024-03-04,Python,https://hh.ru/vacancy/94226481
93472687,Junior Data Scientist,B2B-Center,,Москва,2024-02-19,Python,https://hh.ru/vacancy/93472687
93423525,Data Analyst (Junior),DNS Технологии,60000,Владивосток,2024-02-19,Python,https://hh.ru/vacancy/93423525
93687259,Junior Analyst (Customer Support Team),Sputnik8,,Санкт-Петербург,2024-02-22,Python,https://hh.ru/vacancy/93687259
91747544,Младший системный администратор в отдел автоматизации ЦОД (DevOps),Тензор,100000,Ярославль,2024-02-15,Python,https://hh.ru/vacancy/91747544
92544388,Инженер по тестированию ПО (Junior),Гексагон,,Москва,2024-03-07,Python,https://hh.ru/vacancy/92544388
94178817,NLP Engineer (Инженер по обработке естественного языка),Учкнига,,Москва,2024-03-07,Python,https://hh.ru/vacancy/94178817
93363563,Junior-разработчик,Планетра,60000,Екатеринбург,2024-02-16,Python,https://hh.ru/vacancy/93363563
93902549,С++ Junior разработчик,Компания Ритейл Сервис,50000,Барнаул,2024-02-28,Python,https://hh.ru/vacancy/93902549
92909852,Project manager Junior,CRTEX,60000,Москва,2024-03-07,Python,https://hh.ru/vacancy/92909852
93354312,Backend разработчик (junior),Интэрсо,,Петрозаводск,2024-02-16,Python,https://hh.ru/vacancy/93354312
93540310,Младший аналитик (IT),Olima,140000,Москва,2024-03-09,Python,https://hh.ru/vacancy/93540310
93543632,Junior Data engineer (Дата инженер),Тим,,Москва,2024-03-09,Python,https://hh.ru/vacancy/93543632
92361982,Junior Data Analyst,"РЕСО-Гарантия, САО",,Москва,2024-02-28,Python,https://hh.ru/vacancy/92361982
94233577,Стажер автотестирования (Python),ITFB Group,,Екатеринбург,2024-03-04,Python,https://hh.ru/vacancy/94233577
92070271,Младший аналитик данных (Junior Data Analyst),СБЕР,,Москва,2024-02-22,Python,https://hh.ru/vacancy/92070271
93553119,Разработчик (Junior) BigData,АФЛТ-Системс,,Москва,2024-03-09,Python,https://hh.ru/vacancy/93553119
92361995,Младший продуктовый аналитик,"РЕСО-Гарантия, САО",,Москва,2024-02-28,Python,https://hh.ru/vacancy/92361995
91899118,Младший аналитик антифрод-мониторинга (Junior),Универсальный Советник,,Хабаровск,2024-02-17,Python,https://hh.ru/vacancy/91899118
94048664,Junior Разработчик на SAS RTDM (стажер),Ак Барс Банк,40000,Казань,2024-02-29,Python,https://hh.ru/vacancy/94048664
93826184,Junior Data Engineer,СБЕР,,Москва,2024-02-26,Python,https://hh.ru/vacancy/93826184
93252056,Python Junior Сценарист (г. Омск),СБЕР,70200,Омск,2024-02-15,Python,https://hh.ru/vacancy/93252056
92977061,Стажер автотестирования (Python),ITFB Group,,Москва,2024-03-07,Python,https://hh.ru/vacancy/92977061
94230503,Младший аналитик (группа предотвращения потерь),Ozon,,Москва,2024-03-04,Python,https://hh.ru/vacancy/94230503
92693637,Младший аналитик данных,Ozon,,Москва,2024-02-21,Python,https://hh.ru/vacancy/92693637
94054249,Стажер автотестирования (Python),ITFB Group,,Самара,2024-02-29,Python,https://hh.ru/vacancy/94054249
93681157,Младший аналитик,Компания ПЭК,,Москва,2024-02-22,Python,https://hh.ru/vacancy/93681157
92715286,Junior full-stack developer,Сервис Руки,,Москва,2024-02-29,Python,https://hh.ru/vacancy/92715286
93851759,Стажер DevOps-инженер,Райффайзен Банк,,Москва,2024-02-27,Python,https://hh.ru/vacancy/93851759
93469262,No-code разработчик (без опыта),Планетра,60000,Москва,2024-02-19,Python,https://hh.ru/vacancy/93469262
93286822,Младший аналитик,Ростелеком,65000,Москва,2024-02-15,Python,https://hh.ru/vacancy/93286822
93190235,"Fresh Graduate - Junior Data Analysis (based in Beijing, China)","WISELINK CO.,LTD.",2000,Москва,2024-03-09,Python,https://hh.ru/vacancy/93190235
93458665,Младший аналитик SOC (L1),VK,,Москва,2024-02-19,Python,https://hh.ru/vacancy/93458665
92803313,Data analyst (Junior),DNS Технологии,60000,Владивосток,2024-03-07,Python,https://hh.ru/vacancy/92803313
93161259,Аналитик (junior),ТОП КЕЙС,,Москва,2024-03-03,Python,https://hh.ru/vacancy/93161259
93480548,No-code разработчик (без опыта),Планетра,60000,Санкт-Петербург,2024-02-19,Python,https://hh.ru/vacancy/93480548
94054323,Стажер автотестирования (Python),ITFB Group,,Пермь,2024-02-29,Python,https://hh.ru/vacancy/94054323
93268216,Младший аналитик (маркетинговые исследования),OSTIN,,Москва,2024-02-15,Python,https://hh.ru/vacancy/93268216
89674841,DevOps Engineer (Intern \ Junior),evrone.ru,120000,Воронеж,2024-03-07,Python,https://hh.ru/vacancy/89674841
93293538,QA Engineer. auto,Хантфлоу интеграция УЗ2,270000,Лорино (Чукотский АО),2024-02-15,Python,https://hh.ru/vacancy/93293538
92148813,Младший научный сотрудник (ИИ в Здравоохранении),ГБУЗ «Научно-практический клинический центр диагностики и телемедицинских технологий ДЗМ»,120000,Москва,2024-03-01,Python,https://hh.ru/vacancy/92148813
91883912,Младший аналитик (Отдел анализа и оптимизации процессов взыскания),АО «ОТП Банк» (JSC «OTP Bank»),,Москва,2024-03-05,Python,https://hh.ru/vacancy/91883912
94035066,Младший ​​​​​​​специалист по веб-защищенности​​​​​​​,Okko,,Москва,2024-02-29,Python,https://hh.ru/vacancy/94035066
91471177,Junior DevSecOps инженер,Инфосистемы Джет,,Краснодар,2024-02-21,Python,https://hh.ru/vacancy/91471177
93664664,Big Data Engineer (Junior),Центральный банк Российской Федерации,,Санкт-Петербург,2024-02-22,Python,https://hh.ru/vacancy/93664664
93401528,Младший системный администратор / junior DevOps / junior IT-архитектор,НПП Рекорд,50000,Новосибирск,2024-03-07,Python,https://hh.ru/vacancy/93401528
93560801,Младший специалист по анализу репутации,BI.ZONE,,Москва,2024-02-20,Python,https://hh.ru/vacancy/93560801
90002709,Младший специалист по разметке данных,Спортмастер,,Москва,2024-02-18,Python,https://hh.ru/vacancy/90002709
93548257,Младший разработчик BI,Газпромбанк,,Москва,2024-02-20,Python,https://hh.ru/vacancy/93548257
93784516,Junior bioinformatician - lung carcinomas,BostonGene Technologies,,Москва,2024-02-26,Python,https://hh.ru/vacancy/93784516
93285226,Junior Программист 1С (Стажер),Русские решения,40000,Санкт-Петербург,2024-03-07,Python,https://hh.ru/vacancy/93285226
94104695,Стажер BI-аналитик,Академ Интеллект,30000,Москва,2024-03-07,Python,https://hh.ru/vacancy/94104695
93485092,Web-аналитик / младший Web-аналитик,Shkulev Media Holding,,Москва,2024-02-19,Python,https://hh.ru/vacancy/93485092
94214109,Разработчик нейросетевых алгоритмов/Reinforcement Learning,Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем,60000,Москва,2024-03-07,Python,https://hh.ru/vacancy/94214109
93889877,Ведущий специалист отдела организации деятельности на ОРЭМ (Junior ML Engineer),"ОГК-2, Вторая генерирующая компания оптового рынка электроэнергии",,Санкт-Петербург,2024-02-27,Python,https://hh.ru/vacancy/93889877
93589624,Junior DevOps,Центральный банк Российской Федерации,,Москва,2024-02-21,Python,https://hh.ru/vacancy/93589624
